,Unnamed: 0,Flight.No,Airline,Flight.Type,Scheduled.Departure,Departure,Scheduled.Arrival,Arrival,Flight.Status,Justification,Airport.From,Airport.To,Longitude.To,Latitude.To,Longitude.From,Latitude.From,Departure.Delay,Arrival.Delay,Distance.In.Meters,Flight.No2,AirLine.Code,Departure_Date
48389,176513,AZU - 2400,AZUL,Domestic,2016-03-15 08:25:00,2016-03-15 08:25:00,2016-03-15 09:32:00,2016-03-15 09:18:00,Confirmed,ANTECIPATION,SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,0.0,-14.0,344156.300783255,2400,AZU,2016-03-15 08:25:00
48407,176531,AZU - 2401,AZUL,Regional,2016-03-15 06:23:00,,2016-03-15 07:40:00,,Cancelled,AUTHORIZED (O),SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,,,344156.300783255,2401,AZU,2016-03-15 06:23:00
48426,176550,AZU - 2402,AZUL,Regional,2016-03-15 10:25:00,,2016-03-15 11:52:00,,Cancelled,AUTHORIZED (O),SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,,,344156.300783255,2402,AZU,2016-03-15 10:25:00
48448,176572,AZU - 2403,AZUL,Domestic,2016-03-15 08:25:00,2016-03-15 08:19:00,2016-03-15 09:35:00,2016-03-15 09:23:00,Confirmed,ANTECIPATION,SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,-6.0,-12.0,344156.300783255,2403,AZU,2016-03-15 08:25:00
48460,176584,AZU - 2403,AZUL,Domestic,2016-03-15 08:25:00,2016-03-20 08:19:00,2016-03-15 09:35:00,2016-03-20 09:29:00,Confirmed,ANTECIPATION,SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,7194.0,7194.0,344156.300783255,2403,AZU,2016-03-15 08:25:00
48481,176605,AZU - 2404,AZUL,Domestic,2016-03-15 15:10:00,2016-03-15 14:57:00,2016-03-15 16:13:00,2016-03-15 15:59:00,Confirmed,ANTECIPATION,SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,-13.0,-14.0,344156.300783255,2404,AZU,2016-03-15 15:10:00
48493,176617,AZU - 2405,AZUL,Regional,2016-03-15 13:05:00,,2016-03-15 14:20:00,,Cancelled,AUTHORIZED (O),SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,,,344156.300783255,2405,AZU,2016-03-15 13:05:00
48524,176648,AZU - 2406,AZUL,Domestic,2016-03-15 19:25:00,2016-03-20 19:15:00,2016-03-15 20:33:00,2016-03-20 20:11:00,Confirmed,ANTECIPATION,SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,7190.0,7178.0,344156.300783255,2406,AZU,2016-03-15 19:25:00
48535,176659,AZU - 2406,AZUL,Domestic,2016-03-15 19:25:00,2016-03-15 19:16:00,2016-03-15 20:33:00,2016-03-15 20:11:00,Confirmed,ANTECIPATION,SBGR,SBRJ,-43.1648755,-22.9111438,-46.478126,-23.4345529,-9.0,-22.0,344156.300783255,2406,AZU,2016-03-15 19:25:00
48550,176674,AZU - 2407,AZUL,Regional,2016-03-15 17:36:00,2016-03-15 17:36:00,2016-03-15 18:35:00,2016-03-15 18:35:00,Confirmed,,SBRJ,SBGR,-46.478126,-23.4345529,-43.1648755,-22.9111438,0.0,0.0,344156.300783255,2407,AZU,2016-03-15 17:36:00
48568,176692,AZU - 2408,AZUL,Domestic,2016-03-15 17:15:00,2016-03-15 17:01:00,2016-03-15 18:22:00,2016-03-15 18:06:00,Confirmed,ANTECIPATION,SBVT,SBRJ,-43.1648755,-22.9111438,-40.2835346,-20.2576489,-14.0,-16.0,418730.58349907,2408,AZU,2016-03-15 17:15:00
48588,176712,AZU - 2408,AZUL,Domestic,2016-03-15 17:15:00,2016-03-20 17:08:00,2016-03-15 18:22:00,2016-03-20 18:07:00,Confirmed,ANTECIPATION,SBVT,SBRJ,-43.1648755,-22.9111438,-40.2835346,-20.2576489,7193.0,7185.0,418730.58349907,2408,AZU,2016-03-15 17:15:00
48607,176731,AZU - 2409,AZUL,Domestic,2016-03-15 11:24:00,2016-03-15 11:18:00,2016-03-15 12:35:00,2016-03-15 12:21:00,Confirmed,ANTECIPATION,SBRJ,SBVT,-40.2835346,-20.2576489,-43.1648755,-22.9111438,-6.0,-14.0,418730.58349907,2409,AZU,2016-03-15 11:24:00
48619,176743,AZU - 2410,AZUL,Domestic,2016-03-15 06:45:00,2016-03-15 06:37:00,2016-03-15 08:06:00,2016-03-15 07:47:00,Confirmed,ANTECIPATION,SBGR,SBCF,-43.965396,-19.634099,-46.478126,-23.4345529,-8.0,-19.0,494770.269276836,2410,AZU,2016-03-15 06:45:00
48669,176793,AZU - 2411,AZUL,Domestic,2016-03-15 07:50:00,2016-03-15 07:50:00,2016-03-15 09:15:00,2016-03-15 09:04:00,Confirmed,ANTECIPATION,SBCF,SBGR,-46.478126,-23.4345529,-43.965396,-19.634099,0.0,-11.0,494770.269276836,2411,AZU,2016-03-15 07:50:00
48682,176806,AZU - 2412,AZUL,Domestic,2016-03-15 09:55:00,2016-03-15 09:54:00,2016-03-15 11:17:00,2016-03-15 11:00:00,Confirmed,ANTECIPATION,SBGR,SBCF,-43.965396,-19.634099,-46.478126,-23.4345529,-1.0,-17.0,494770.269276836,2412,AZU,2016-03-15 09:55:00
48707,176831,AZU - 2413,AZUL,Regional,2016-03-15 13:05:00,,2016-03-15 14:30:00,,Cancelled,AUTHORIZED (O),SBCF,SBGR,-46.478126,-23.4345529,-43.965396,-19.634099,,,494770.269276836,2413,AZU,2016-03-15 13:05:00
48719,176843,AZU - 2413,AZUL,Domestic,2016-03-15 13:05:00,2016-03-20 12:57:00,2016-03-15 14:30:00,2016-03-20 14:07:00,Confirmed,ANTECIPATION,SBCF,SBGR,-46.478126,-23.4345529,-43.965396,-19.634099,7192.0,7177.0,494770.269276836,2413,AZU,2016-03-15 13:05:00
48728,176852,AZU - 2414,AZUL,Regional,2016-03-15 15:00:00,,2016-03-15 16:22:00,,Cancelled,AUTHORIZED (O),SBGR,SBCF,-43.965396,-19.634099,-46.478126,-23.4345529,,,494770.269276836,2414,AZU,2016-03-15 15:00:00
48745,176869,AZU - 2414,AZUL,Domestic,2016-03-15 15:00:00,2016-03-20 14:51:00,2016-03-15 16:22:00,2016-03-20 15:54:00,Confirmed,ANTECIPATION,SBGR,SBCF,-43.965396,-19.634099,-46.478126,-23.4345529,7191.0,7172.0,494770.269276836,2414,AZU,2016-03-15 15:00:00
48764,176888,AZU - 2415,AZUL,Domestic,2016-03-15 16:54:00,2016-03-15 16:48:00,2016-03-15 18:30:00,2016-03-15 18:00:00,Confirmed,ANTECIPATION,SBCF,SBGR,-46.478126,-23.4345529,-43.965396,-19.634099,-6.0,-30.0,494770.269276836,2415,AZU,2016-03-15 16:54:00
48767,176891,AZU - 2415,AZUL,Domestic,2016-03-15 16:54:00,2016-03-20 17:04:00,2016-03-15 18:30:00,2016-03-20 18:47:00,Confirmed,AIR TRAFFIC LIBERATION/ANTECIPATION,SBCF,SBGR,-46.478126,-23.4345529,-43.965396,-19.634099,7210.0,7217.0,494770.269276836,2415,AZU,2016-03-15 16:54:00
48785,176909,AZU - 2416,AZUL,Domestic,2016-03-15 18:55:00,2016-03-15 18:49:00,2016-03-15 20:07:00,2016-03-15 20:01:00,Confirmed,ANTECIPATION,SBGR,SBCF,-43.965396,-19.634099,-46.478126,-23.4345529,-6.0,-6.0,494770.269276836,2416,AZU,2016-03-15 18:55:00
48804,176928,AZU - 2416,AZUL,Domestic,2016-03-15 18:55:00,2016-03-20 18:53:00,2016-03-15 20:07:00,2016-03-20 19:59:00,Confirmed,ANTECIPATION,SBGR,SBCF,-43.965396,-19.634099,-46.478126,-23.4345529,7198.0,7192.0,494770.269276836,2416,AZU,2016-03-15 18:55:00
48821,176945,AZU - 2417,AZUL,Domestic,2016-03-15 19:05:00,2016-03-15 18:59:00,2016-03-15 20:35:00,2016-03-15 20:25:00,Confirmed,ANTECIPATION,SBCF,SBGR,-46.478126,-23.4345529,-43.965396,-19.634099,-6.0,-10.0,494770.269276836,2417,AZU,2016-03-15 19:05:00
48827,176951,AZU - 2418,AZUL,Regional,2016-03-15 21:20:00,2016-03-15 21:20:00,2016-03-15 22:35:00,2016-03-15 22:35:00,Confirmed,,SBGR,SBCF,-43.965396,-19.634099,-46.478126,-23.4345529,0.0,0.0,494770.269276836,2418,AZU,2016-03-15 21:20:00
48831,176955,AZU - 2418,AZUL,Domestic,2016-03-15 21:20:00,2016-03-15 21:16:00,2016-03-15 22:35:00,2016-03-15 22:25:00,Confirmed,ANTECIPATION,SBGR,SBCF,-43.965396,-19.634099,-46.478126,-23.4345529,-4.0,-10.0,494770.269276836,2418,AZU,2016-03-15 21:20:00
48856,176980,AZU - 2419,AZUL,Domestic,2016-03-15 21:29:00,2016-03-15 21:24:00,2016-03-15 23:00:00,2016-03-15 22:42:00,Confirmed,ANTECIPATION,SBCF,SBGR,-46.478126,-23.4345529,-43.965396,-19.634099,-5.0,-18.0,494770.269276836,2419,AZU,2016-03-15 21:29:00
48857,176981,AZU - 2419,AZUL,Domestic,2016-03-15 21:29:00,2016-03-20 21:23:00,2016-03-15 23:00:00,2016-03-20 22:39:00,Confirmed,ANTECIPATION,SBCF,SBGR,-46.478126,-23.4345529,-43.965396,-19.634099,7194.0,7179.0,494770.269276836,2419,AZU,2016-03-15 21:29:00
48895,177019,AZU - 2420,AZUL,Domestic,2016-03-15 06:09:00,2016-03-15 06:04:00,2016-03-15 07:23:00,2016-03-15 07:16:00,Confirmed,ANTECIPATION,SBKP,SBCF,-43.965396,-19.634099,-47.1375685,-23.008205,-5.0,-7.0,497820.275840809,2420,AZU,2016-03-15 06:09:00
48921,177045,AZU - 2421,AZUL,Regional,2016-03-15 23:02:00,2016-03-15 23:02:00,2016-03-16 00:06:00,2016-03-16 00:06:00,Confirmed,,SBCF,SBKP,-47.1375685,-23.008205,-43.965396,-19.634099,0.0,0.0,497820.275840809,2421,AZU,2016-03-15 23:02:00
48949,177073,AZU - 2423,AZUL,Domestic,2016-03-15 08:40:00,2016-03-15 08:30:00,2016-03-15 09:35:00,2016-03-15 09:25:00,Confirmed,ANTECIPATION,SBRP,SBKP,-47.1375685,-23.008205,-47.7751674,-21.1347507,-10.0,-10.0,217636.106758598,2423,AZU,2016-03-15 08:40:00
48957,177081,AZU - 2424,AZUL,Domestic,2016-03-15 11:59:00,2016-03-15 11:42:00,2016-03-15 13:50:00,2016-03-15 13:27:00,Confirmed,ANTECIPATION,SBPA,SBRJ,-43.1648755,-22.9111438,-51.1753811,-29.9934732,-17.0,-23.0,1119087.26797659,2424,AZU,2016-03-15 11:59:00
48992,177116,AZU - 2428,AZUL,Domestic,2016-03-15 18:28:00,2016-03-20 18:22:00,2016-03-15 20:06:00,2016-03-20 19:49:00,Confirmed,ANTECIPATION,SBCF,SBBR,-47.9172348,-15.8697369,-43.965396,-19.634099,7194.0,7183.0,590879.484403859,2428,AZU,2016-03-15 18:28:00
48994,177118,AZU - 2428,AZUL,Domestic,2016-03-15 20:31:00,2016-03-15 20:19:00,2016-03-15 22:22:00,2016-03-15 22:13:00,Confirmed,ANTECIPATION,SBBR,SBCY,-56.1172687,-15.6530786,-47.9172348,-15.8697369,-12.0,-9.0,878990.47633089,2428,AZU,2016-03-15 20:31:00
49021,177145,AZU - 2428,AZUL,Domestic,2016-03-15 18:28:00,2016-03-15 18:21:00,2016-03-15 20:06:00,2016-03-15 19:42:00,Confirmed,ANTECIPATION,SBCF,SBBR,-47.9172348,-15.8697369,-43.965396,-19.634099,-7.0,-24.0,590879.484403859,2428,AZU,2016-03-15 18:28:00
49032,177156,AZU - 2428,AZUL,Domestic,2016-03-15 20:31:00,2016-03-20 20:27:00,2016-03-15 22:22:00,2016-03-20 22:15:00,Confirmed,ANTECIPATION,SBBR,SBCY,-56.1172687,-15.6530786,-47.9172348,-15.8697369,7196.0,7193.0,878990.47633089,2428,AZU,2016-03-15 20:31:00
49051,177175,AZU - 2429,AZUL,Domestic,2016-03-15 11:06:00,2016-03-15 10:59:00,2016-03-15 12:44:00,2016-03-15 12:34:00,Confirmed,ANTECIPATION,SBCY,SBBR,-47.9172348,-15.8697369,-56.1172687,-15.6530786,-7.0,-10.0,878990.47633089,2429,AZU,2016-03-15 11:06:00
49078,177202,AZU - 2429,AZUL,Regional,2016-03-15 13:14:00,,2016-03-15 14:35:00,,Cancelled,AUTHORIZED (O),SBBR,SBCF,-43.965396,-19.634099,-47.9172348,-15.8697369,,,590879.484403859,2429,AZU,2016-03-15 13:14:00
49117,177241,AZU - 2431,AZUL,Domestic,2016-03-15 06:20:00,2016-03-15 06:15:00,2016-03-15 07:55:00,2016-03-15 07:47:00,Confirmed,ANTECIPATION,SBBH,SBKP,-47.1375685,-23.008205,-43.9548899,-19.8498475,-5.0,-8.0,480743.682258778,2431,AZU,2016-03-15 06:20:00
49141,177265,AZU - 2439,AZUL,Domestic,2016-03-15 15:15:00,2016-03-15 15:28:00,2016-03-15 16:28:00,2016-03-15 16:50:00,Confirmed,AIR TRAFFIC LIBERATION/ANTECIPATION,SBHT,SBBE,-48.4775227,-1.3820615,-52.2490864,-3.2535656,13.0,22.0,467756.806862731,2439,AZU,2016-03-15 15:15:00
49164,177288,AZU - 2446,AZUL,Domestic,2016-03-15 13:33:00,2016-03-15 13:25:00,2016-03-15 16:05:00,2016-03-15 15:51:00,Confirmed,ANTECIPATION,SBCF,SBIZ,-47.4560696,-5.5316945,-43.965396,-19.634099,-8.0,-14.0,1605364.53612252,2446,AZU,2016-03-15 13:33:00
49168,177292,AZU - 2446,AZUL,Domestic,2016-03-15 13:33:00,2016-03-20 13:29:00,2016-03-15 16:05:00,2016-03-20 15:59:00,Confirmed,ANTECIPATION,SBCF,SBIZ,-47.4560696,-5.5316945,-43.965396,-19.634099,7196.0,7194.0,1605364.53612252,2446,AZU,2016-03-15 13:33:00
49190,177314,AZU - 2447,AZUL,Domestic,2016-03-15 16:30:00,2016-03-20 16:23:00,2016-03-15 18:57:00,2016-03-20 18:50:00,Confirmed,ANTECIPATION,SBIZ,SBCF,-43.965396,-19.634099,-47.4560696,-5.5316945,7193.0,7193.0,1605364.53612252,2447,AZU,2016-03-15 16:30:00
49203,177327,AZU - 2447,AZUL,Domestic,2016-03-15 16:30:00,2016-03-15 16:23:00,2016-03-15 18:57:00,2016-03-15 18:56:00,Confirmed,ANTECIPATION,SBIZ,SBCF,-43.965396,-19.634099,-47.4560696,-5.5316945,-7.0,-1.0,1605364.53612252,2447,AZU,2016-03-15 16:30:00
49208,177332,AZU - 2451,AZUL,Domestic,2016-03-15 09:28:00,2016-03-15 09:23:00,2016-03-15 10:35:00,2016-03-15 10:22:00,Confirmed,ANTECIPATION,SBVT,SBRJ,-43.1648755,-22.9111438,-40.2835346,-20.2576489,-5.0,-13.0,418730.58349907,2451,AZU,2016-03-15 09:28:00
49257,177381,AZU - 2452,AZUL,Domestic,2016-03-15 19:13:00,2016-03-20 20:49:00,2016-03-15 20:13:00,2016-03-20 21:54:00,Confirmed,DELAY NOT SPECIFIED - OTHER,SBRJ,SBVT,-40.2835346,-20.2576489,-43.1648755,-22.9111438,7296.0,7301.0,418730.58349907,2452,AZU,2016-03-15 19:13:00
49260,177384,AZU - 2452,AZUL,Domestic,2016-03-15 19:13:00,2016-03-15 19:03:00,2016-03-15 20:13:00,2016-03-15 20:10:00,Confirmed,ANTECIPATION,SBRJ,SBVT,-40.2835346,-20.2576489,-43.1648755,-22.9111438,-10.0,-3.0,418730.58349907,2452,AZU,2016-03-15 19:13:00
49262,177386,AZU - 2453,AZUL,Domestic,2016-03-15 20:23:00,2016-03-15 20:13:00,2016-03-15 21:34:00,2016-03-15 21:14:00,Confirmed,ANTECIPATION,SBVT,SBRJ,-43.1648755,-22.9111438,-40.2835346,-20.2576489,-10.0,-20.0,418730.58349907,2453,AZU,2016-03-15 20:23:00
49263,177387,AZU - 2453,AZUL,Domestic,2016-03-15 20:23:00,2016-03-20 20:14:00,2016-03-15 21:34:00,2016-03-20 21:21:00,Confirmed,ANTECIPATION,SBVT,SBRJ,-43.1648755,-22.9111438,-40.2835346,-20.2576489,7191.0,7187.0,418730.58349907,2453,AZU,2016-03-15 20:23:00
49291,177415,AZU - 2460,AZUL,Domestic,2016-03-15 12:18:00,2016-03-15 12:25:00,2016-03-15 13:45:00,2016-03-15 13:29:00,Confirmed,ANTECIPATION,SBCF,SBKP,-47.1375685,-23.008205,-43.965396,-19.634099,7.0,-16.0,497820.275840809,2460,AZU,2016-03-15 12:18:00
49314,177438,AZU - 2461,AZUL,Domestic,2016-03-15 13:09:00,,2016-03-15 14:25:00,,Cancelled,AUTHORIZED (O),SBCF,SBBR,-47.9172348,-15.8697369,-43.965396,-19.634099,,,590879.484403859,2461,AZU,2016-03-15 13:09:00
49332,177456,AZU - 2462,AZUL,Domestic,2016-03-15 11:05:00,2016-03-15 10:52:00,2016-03-15 12:26:00,2016-03-15 12:14:00,Confirmed,ANTECIPATION,SBBR,SBCF,-43.965396,-19.634099,-47.9172348,-15.8697369,-13.0,-12.0,590879.484403859,2462,AZU,2016-03-15 11:05:00
49350,177474,AZU - 2463,AZUL,Domestic,2016-03-15 14:52:00,2016-03-15 14:45:00,2016-03-15 16:01:00,2016-03-15 15:56:00,Confirmed,ANTECIPATION,SBKP,SBCF,-43.965396,-19.634099,-47.1375685,-23.008205,-7.0,-5.0,497820.275840809,2463,AZU,2016-03-15 14:52:00
49372,177496,AZU - 2464,AZUL,Domestic,2016-03-15 12:00:00,2016-03-15 11:56:00,2016-03-15 14:20:00,2016-03-15 14:12:00,Confirmed,ANTECIPATION,SBCF,SNBR,-45.0102003,-12.078983,-43.965396,-19.634099,-4.0,-8.0,843481.834448869,2464,AZU,2016-03-15 12:00:00
49407,177531,AZU - 2465,AZUL,Domestic,2016-03-15 14:45:00,2016-03-15 14:40:00,2016-03-15 17:00:00,2016-03-15 16:50:00,Confirmed,ANTECIPATION,SNBR,SBCF,-43.965396,-19.634099,-45.0102003,-12.078983,-5.0,-10.0,843481.834448869,2465,AZU,2016-03-15 14:45:00
49416,177540,AZU - 2466,AZUL,Domestic,2016-03-15 13:55:00,2016-03-15 13:46:00,2016-03-15 14:57:00,2016-03-15 14:44:00,Confirmed,ANTECIPATION,SBGR,SBCT,-49.1724811,-25.5327132,-46.478126,-23.4345529,-9.0,-13.0,358595.366442389,2466,AZU,2016-03-15 13:55:00
49443,177567,AZU - 2467,AZUL,Domestic,2016-03-15 17:15:00,2016-03-15 17:12:00,2016-03-15 18:25:00,2016-03-15 18:23:00,Confirmed,ANTECIPATION,SBCT,SBGR,-46.478126,-23.4345529,-49.1724811,-25.5327132,-3.0,-2.0,358595.366442389,2467,AZU,2016-03-15 17:15:00
49512,177636,AZU - 2473,AZUL,Domestic,2016-03-15 06:15:00,2016-03-15 06:06:00,2016-03-15 07:02:00,2016-03-15 06:57:00,Confirmed,ANTECIPATION,SBGV,SBCF,-43.965396,-19.634099,-41.9854826,-18.8975955,-9.0,-5.0,223530.621841183,2473,AZU,2016-03-15 06:15:00
49536,177660,AZU - 2474,AZUL,Domestic,2016-03-15 16:34:00,2016-03-20 16:30:00,2016-03-15 17:30:00,2016-03-20 17:19:00,Confirmed,ANTECIPATION,SBCF,SBGV,-41.9854826,-18.8975955,-43.965396,-19.634099,7196.0,7189.0,223530.621841183,2474,AZU,2016-03-15 16:34:00
49540,177664,AZU - 2474,AZUL,Regional,2016-03-15 16:34:00,2016-03-15 16:34:00,2016-03-15 17:30:00,2016-03-15 17:30:00,Confirmed,,SBCF,SBGV,-41.9854826,-18.8975955,-43.965396,-19.634099,0.0,0.0,223530.621841183,2474,AZU,2016-03-15 16:34:00
49557,177681,AZU - 2478,AZUL,Regional,2016-03-15 09:02:00,2016-03-15 09:02:00,2016-03-15 10:00:00,2016-03-15 10:00:00,Confirmed,,SBCT,SBLO,-51.1331599,-23.3320714,-49.1724811,-25.5327132,0.0,0.0,314548.239531035,2478,AZU,2016-03-15 09:02:00
49558,177682,AZU - 2478,AZUL,Domestic,2016-03-15 10:30:00,2016-03-15 10:22:00,2016-03-15 12:16:00,2016-03-15 12:07:00,Confirmed,ANTECIPATION,SBLO,SBCY,-56.1172687,-15.6530786,-51.1331599,-23.3320714,-8.0,-9.0,997888.521584093,2478,AZU,2016-03-15 10:30:00
49592,177716,AZU - 2478,AZUL,Domestic,2016-03-15 06:56:00,2016-03-15 06:52:00,2016-03-15 08:16:00,2016-03-15 07:59:00,Confirmed,ANTECIPATION,SBPA,SBCT,-49.1724811,-25.5327132,-51.1753811,-29.9934732,-4.0,-17.0,532259.855202391,2478,AZU,2016-03-15 06:56:00
49628,177752,AZU - 2479,AZUL,Domestic,2016-03-15 21:16:00,2016-03-15 21:16:00,2016-03-15 22:33:00,2016-03-15 22:31:00,Confirmed,ANTECIPATION,SBCT,SBPA,-51.1753811,-29.9934732,-49.1724811,-25.5327132,0.0,-2.0,532259.855202391,2479,AZU,2016-03-15 21:16:00
49643,177767,AZU - 2479,AZUL,Regional,2016-03-15 19:45:00,2016-03-15 19:45:00,2016-03-15 20:31:00,2016-03-15 20:31:00,Confirmed,,SBLO,SBCT,-49.1724811,-25.5327132,-51.1331599,-23.3320714,0.0,0.0,314548.239531035,2479,AZU,2016-03-15 19:45:00
49644,177768,AZU - 2479,AZUL,Domestic,2016-03-15 19:45:00,2016-03-15 19:41:00,2016-03-15 20:31:00,2016-03-15 20:29:00,Confirmed,ANTECIPATION,SBLO,SBCT,-49.1724811,-25.5327132,-51.1331599,-23.3320714,-4.0,-2.0,314548.239531035,2479,AZU,2016-03-15 19:45:00
49652,177776,AZU - 2479,AZUL,Domestic,2016-03-15 17:30:00,2016-03-15 17:30:00,2016-03-15 19:15:00,2016-03-15 19:11:00,Confirmed,ANTECIPATION,SBCY,SBLO,-51.1331599,-23.3320714,-56.1172687,-15.6530786,0.0,-4.0,997888.521584093,2479,AZU,2016-03-15 17:30:00
49677,177801,AZU - 2479,AZUL,Domestic,2016-03-15 17:30:00,2016-03-20 17:52:00,2016-03-15 19:15:00,2016-03-20 19:30:00,Confirmed,AIRPLANE FAULT,SBCY,SBLO,-51.1331599,-23.3320714,-56.1172687,-15.6530786,7222.0,7215.0,997888.521584093,2479,AZU,2016-03-15 17:30:00
49702,177826,AZU - 2479,AZUL,Regional,2016-03-15 21:16:00,2016-03-15 21:16:00,2016-03-15 22:33:00,2016-03-15 22:33:00,Confirmed,,SBCT,SBPA,-51.1753811,-29.9934732,-49.1724811,-25.5327132,0.0,0.0,532259.855202391,2479,AZU,2016-03-15 21:16:00
49720,177844,AZU - 2480,AZUL,Domestic,2016-03-15 23:55:00,2016-03-20 23:51:00,2016-03-16 01:27:00,2016-03-21 01:09:00,Confirmed,ANTECIPATION,SBPV,SBEG,-60.0463249,-3.0358474,-63.89832,-8.7141702,7196.0,7182.0,759027.150240944,2480,AZU,2016-03-15 23:55:00
49725,177849,AZU - 2480,AZUL,Domestic,2016-03-15 23:55:00,2016-03-15 23:46:00,2016-03-16 01:27:00,2016-03-16 01:04:00,Confirmed,ANTECIPATION,SBPV,SBEG,-60.0463249,-3.0358474,-63.89832,-8.7141702,-9.0,-23.0,759027.150240944,2480,AZU,2016-03-15 23:55:00
49757,177881,AZU - 2480,AZUL,Domestic,2016-03-15 18:35:00,2016-03-15 18:28:00,2016-03-15 21:00:00,2016-03-15 20:40:00,Confirmed,ANTECIPATION,SBGR,SBCY,-56.1172687,-15.6530786,-46.478126,-23.4345529,-7.0,-20.0,1327738.24889233,2480,AZU,2016-03-15 18:35:00
49758,177882,AZU - 2480,AZUL,Domestic,2016-03-15 21:33:00,2016-03-15 21:18:00,2016-03-15 23:25:00,2016-03-15 23:08:00,Confirmed,ANTECIPATION,SBCY,SBPV,-63.89832,-8.7141702,-56.1172687,-15.6530786,-15.0,-17.0,1142479.84581179,2480,AZU,2016-03-15 21:33:00
49774,177898,AZU - 2480,AZUL,Domestic,2016-03-15 18:35:00,2016-03-20 18:38:00,2016-03-15 21:00:00,2016-03-20 20:45:00,Confirmed,ANTECIPATION,SBGR,SBCY,-56.1172687,-15.6530786,-46.478126,-23.4345529,7203.0,7185.0,1327738.24889233,2480,AZU,2016-03-15 18:35:00
49781,177905,AZU - 2480,AZUL,Domestic,2016-03-15 21:33:00,2016-03-20 21:37:00,2016-03-15 23:25:00,2016-03-20 23:24:00,Confirmed,ANTECIPATION,SBCY,SBPV,-63.89832,-8.7141702,-56.1172687,-15.6530786,7204.0,7199.0,1142479.84581179,2480,AZU,2016-03-15 21:33:00
49800,177924,AZU - 2481,AZUL,Domestic,2016-03-15 10:44:00,2016-03-15 10:36:00,2016-03-15 13:10:00,2016-03-15 12:58:00,Confirmed,ANTECIPATION,SBCY,SBGR,-46.478126,-23.4345529,-56.1172687,-15.6530786,-8.0,-12.0,1327738.24889233,2481,AZU,2016-03-15 10:44:00
49853,177977,AZU - 2500,AZUL,Domestic,2016-03-15 07:24:00,2016-03-15 07:21:00,2016-03-15 09:02:00,2016-03-15 08:47:00,Confirmed,ANTECIPATION,SBRJ,SBNF,-48.6490867,-26.8805344,-43.1648755,-22.9111438,-3.0,-15.0,707186.590060114,2500,AZU,2016-03-15 07:24:00
49900,178024,AZU - 2501,AZUL,Domestic,2016-03-15 11:56:00,,2016-03-15 13:01:00,,Cancelled,AUTHORIZED (O),SBRJ,SBCF,-43.965396,-19.634099,-43.1648755,-22.9111438,,,372223.058964424,2501,AZU,2016-03-15 11:56:00
49911,178035,AZU - 2501,AZUL,Domestic,2016-03-15 10:00:00,2016-03-15 09:51:00,2016-03-15 11:30:00,2016-03-15 11:07:00,Confirmed,ANTECIPATION,SBNF,SBRJ,-43.1648755,-22.9111438,-48.6490867,-26.8805344,-9.0,-23.0,707186.590060114,2501,AZU,2016-03-15 10:00:00
49924,178048,AZU - 2503,AZUL,Domestic,2016-03-15 20:28:00,2016-03-15 20:14:00,2016-03-15 21:53:00,2016-03-15 21:35:00,Confirmed,ANTECIPATION,SBNF,SBRJ,-43.1648755,-22.9111438,-48.6490867,-26.8805344,-14.0,-18.0,707186.590060114,2503,AZU,2016-03-15 20:28:00
49938,178062,AZU - 2503,AZUL,Domestic,2016-03-15 20:28:00,2016-03-20 20:19:00,2016-03-15 21:53:00,2016-03-20 21:40:00,Confirmed,ANTECIPATION,SBNF,SBRJ,-43.1648755,-22.9111438,-48.6490867,-26.8805344,7191.0,7187.0,707186.590060114,2503,AZU,2016-03-15 20:28:00
49962,178086,AZU - 2508,AZUL,Regional,2016-03-15 19:50:00,2016-03-15 19:50:00,2016-03-15 21:10:00,2016-03-15 21:10:00,Confirmed,,SBBE,SBHT,-52.2490864,-3.2535656,-48.4775227,-1.3820615,0.0,0.0,467756.806862731,2508,AZU,2016-03-15 19:50:00
50014,178138,AZU - 2512,AZUL,Domestic,2016-03-15 12:26:00,2016-03-15 12:19:00,2016-03-15 14:30:00,2016-03-15 14:26:00,Confirmed,ANTECIPATION,SBKP,SWLC,-50.9586457,-17.836782,-47.1375685,-23.008205,-7.0,-4.0,697610.883570612,2512,AZU,2016-03-15 12:26:00
50025,178149,AZU - 2512,AZUL,Domestic,2016-03-15 12:26:00,2016-03-20 12:16:00,2016-03-15 14:30:00,2016-03-20 14:19:00,Confirmed,ANTECIPATION,SBKP,SWLC,-50.9586457,-17.836782,-47.1375685,-23.008205,7190.0,7189.0,697610.883570612,2512,AZU,2016-03-15 12:26:00
