,Unnamed: 0,Flight.No,Airline,Flight.Type,Scheduled.Departure,Departure,Scheduled.Arrival,Arrival,Flight.Status,Justification,Airport.From,Airport.To,Longitude.To,Latitude.To,Longitude.From,Latitude.From,Departure.Delay,Arrival.Delay,Distance.In.Meters,Flight.No2,AirLine.Code,Departure_Date
67399,195523,AZU - 5071,AZUL,Domestic,2016-03-15 11:42:00,,2016-03-15 12:43:00,,Cancelled,AUTHORIZED (O),SBCF,SBRJ,-43.1648755,-22.9111438,-43.965396,-19.634099,,,372223.058964424,5071,AZU,2016-03-15 11:42:00
67439,195563,AZU - 5079,AZUL,Domestic,2016-03-15 15:27:00,2016-03-15 15:22:00,2016-03-15 16:30:00,2016-03-15 16:17:00,Confirmed,ANTECIPATION,SBVT,SBCF,-43.965396,-19.634099,-40.2835346,-20.2576489,-5.0,-13.0,391550.087707007,5079,AZU,2016-03-15 15:27:00
67475,195599,AZU - 5080,AZUL,Domestic,2016-03-15 15:20:00,2016-03-15 15:18:00,2016-03-15 16:20:00,2016-03-15 16:13:00,Confirmed,ANTECIPATION,SBCF,SBMK,-43.8200869,-16.7046172,-43.965396,-19.634099,-2.0,-7.0,324606.621515869,5080,AZU,2016-03-15 15:20:00
67491,195615,AZU - 5081,AZUL,Domestic,2016-03-15 17:00:00,2016-03-15 16:47:00,2016-03-15 17:52:00,2016-03-15 17:37:00,Confirmed,ANTECIPATION,SBMK,SBCF,-43.965396,-19.634099,-43.8200869,-16.7046172,-13.0,-15.0,324606.621515869,5081,AZU,2016-03-15 17:00:00
67514,195638,AZU - 5088,AZUL,Regional,2016-03-15 15:27:00,2016-03-15 15:27:00,2016-03-15 16:37:00,2016-03-15 16:37:00,Confirmed,,SBEG,SBTF,-64.7250955,-3.380402,-60.0463249,-3.0358474,0.0,0.0,521420.181301276,5088,AZU,2016-03-15 15:27:00
67538,195662,AZU - 5089,AZUL,Regional,2016-03-15 17:02:00,2016-03-15 17:02:00,2016-03-15 18:09:00,2016-03-15 18:09:00,Confirmed,,SBTF,SBEG,-60.0463249,-3.0358474,-64.7250955,-3.380402,0.0,0.0,521420.181301276,5089,AZU,2016-03-15 17:02:00
67582,195706,AZU - 5093,AZUL,Domestic,2016-03-15 13:38:00,2016-03-15 13:22:00,2016-03-15 14:37:00,2016-03-15 14:13:00,Confirmed,ANTECIPATION,SBCT,SBKP,-47.1375685,-23.008205,-49.1724811,-25.5327132,-16.0,-24.0,347660.505950427,5093,AZU,2016-03-15 13:38:00
67625,195749,AZU - 5108,AZUL,Domestic,2016-03-15 12:59:00,2016-03-15 12:52:00,2016-03-15 14:07:00,2016-03-15 13:54:00,Confirmed,ANTECIPATION,SBPA,SBCT,-49.1724811,-25.5327132,-51.1753811,-29.9934732,-7.0,-13.0,532259.855202391,5108,AZU,2016-03-15 12:59:00
67658,195782,AZU - 5110,AZUL,Domestic,2016-03-15 13:40:00,2016-03-15 13:38:00,2016-03-15 15:22:00,2016-03-15 15:14:00,Confirmed,ANTECIPATION,SBGR,SBBR,-47.9172348,-15.8697369,-46.478126,-23.4345529,-2.0,-8.0,850899.239276595,5110,AZU,2016-03-15 13:40:00
67699,195823,AZU - 5112,AZUL,Domestic,2016-03-15 08:14:00,,2016-03-15 09:55:00,,Cancelled,AUTHORIZED (O),SBKP,SBMG,-52.0164842,-23.4766098,-47.1375685,-23.008205,,,501963.139990425,5112,AZU,2016-03-15 08:14:00
67712,195836,AZU - 5113,AZUL,Domestic,2016-03-15 10:20:00,,2016-03-15 11:52:00,,Cancelled,AUTHORIZED (O),SBMG,SBKP,-47.1375685,-23.008205,-52.0164842,-23.4766098,,,501963.139990425,5113,AZU,2016-03-15 10:20:00
67736,195860,AZU - 5114,AZUL,Domestic,2016-03-15 16:14:00,2016-03-15 16:05:00,2016-03-15 17:32:00,2016-03-15 17:10:00,Confirmed,ANTECIPATION,SBKP,SBRJ,-43.1648755,-22.9111438,-47.1375685,-23.008205,-9.0,-22.0,407540.725268162,5114,AZU,2016-03-15 16:14:00
67764,195888,AZU - 5119,AZUL,Domestic,2016-03-15 15:28:00,2016-03-15 15:16:00,2016-03-15 16:47:00,2016-03-15 16:45:00,Confirmed,ANTECIPATION,SBIL,SBCF,-43.965396,-19.634099,-39.0317095,-14.8140511,-12.0,-2.0,748125.68561839,5119,AZU,2016-03-15 15:28:00
67777,195901,AZU - 5121,AZUL,Domestic,2016-03-15 10:35:00,2016-03-15 10:23:00,2016-03-15 11:46:00,2016-03-15 11:38:00,Confirmed,ANTECIPATION,SBAU,SBKP,-47.1375685,-23.008205,-50.4259826,-21.1375908,-12.0,-8.0,397585.62189247,5121,AZU,2016-03-15 10:35:00
67807,195931,AZU - 5123,AZUL,Regional,2016-03-15 16:23:00,,2016-03-15 18:21:00,,Cancelled,AUTHORIZED (O),SBCA,SBKP,-47.1375685,-23.008205,-53.501918,-25.001815,,,684068.828168673,5123,AZU,2016-03-15 16:23:00
